Sample description: DMPC_25_100
Sample: DMPC_25_100  c= 1 mg/ml  Code: DMPC_25_100_water
Parent(s): analysis/processed/subtracted/DMPC_25_100_water_0363_sub.dat
  1.444300e+00   9.232970e+01   1.391633e+00
  1.447060e+00   9.182612e+01   1.371568e+00
  1.449820e+00   8.967601e+01   1.378224e+00
  1.452580e+00   9.132204e+01   1.373510e+00
  1.455340e+00   8.935480e+01   1.358951e+00
  1.458100e+00   9.447299e+01   1.371431e+00
  1.460850e+00   9.136531e+01   1.347199e+00
  1.463610e+00   8.926209e+01   1.355504e+00
  1.466370e+00   8.992768e+01   1.341154e+00
  1.469130e+00   9.159009e+01   1.348693e+00
  1.471890e+00   9.134180e+01   1.350130e+00
  1.474650e+00   9.009548e+01   1.340009e+00
  1.477410e+00   9.093948e+01   1.343548e+00
  1.480170e+00   9.015682e+01   1.330379e+00
  1.482930e+00   9.135377e+01   1.335607e+00
  1.485690e+00   8.998681e+01   1.336310e+00
  1.488450e+00   9.277376e+01   1.333526e+00
  1.491210e+00   9.200537e+01   1.338457e+00
  1.493970e+00   8.900189e+01   1.308808e+00
  1.496730e+00   8.938382e+01   1.340592e+00
  1.499480e+00   8.829020e+01   1.321286e+00
  1.502240e+00   8.902764e+01   1.327654e+00
  1.505000e+00   8.928767e+01   1.326384e+00
  1.507760e+00   8.983914e+01   1.313644e+00
  1.510520e+00   8.748477e+01   1.320571e+00
  1.513280e+00   8.833231e+01   1.312412e+00
  1.516040e+00   8.945213e+01   1.316310e+00
  1.518800e+00   8.552651e+01   1.316195e+00
